Muscle,MV,MEV,MAV,MRV,MAV*P,MRV*P,Source
Chest,2-4,4-6,6-16,16-24,16-24,24-32+,https://renaissanceperiodization.com/chest-training-tips-hypertrophy/
Back,2-6,6-8,8-20,20-26,20-26,26-34+,https://renaissanceperiodization.com/back-training-tips-hypertrophy/ (numbers in image back1.png)
Biceps,6-8,8-10,14-20,20-26,20-26,26-35,https://renaissanceperiodization.com/bicep-training-tips-hypertrophy/
Triceps,0-4,4-6,6-16,16-20,16-20,20-26+,https://renaissanceperiodization.com/triceps-hypertrophy-training-tips/
Rear/Side Delts,0-4,0-4,4-12,12-20,24-30,30-40+,https://renaissanceperiodization.com/rearside-delt-tips-hypertrophy/
Front Delts,0-2,0-2,4-8,8-12,12-16,16-20+,https://renaissanceperiodization.com/front-delt-training-tips-hypertrophy/
Traps,0-4,0-4,4-12,12-20,16-24,24-32+,https://renaissanceperiodization.com/trap-training-tips-hypertrophy/
Abs,0-4,0-4,4-12,12-20,16-24,24-32+,https://renaissanceperiodization.com/ab-training/
Glutes,2-6,6-8,8-24,24-30,24-30,30-40+,https://renaissanceperiodization.com/glute-training-tips-hypertrophy/
Quads,2-4,4-6,6-14,14-18,10-18,18-24+,https://renaissanceperiodization.com/quad-training-tips-hypertrophy/
Hamstrings,0-2,2-4,2-8,8-14,8-14,14-20,https://renaissanceperiodization.com/hamstring-training-tips-hyprtrophy/
Calves,2-4,4-6,6-16,16-24,16-24,24-32+,https://renaissanceperiodization.com/calves-training-tips-hypertrophy/
